"","gene","cohen_for_all_celltypes_in_xdp_enriched","cohen_neuron_stem_cells_enriched","cohen_fibroblast_eniched","cohen_induced_neuron_enriched"
"1","IDS",0.53,0.94,0.63,0.54
"2","AP1M2",0.5,1.46,NA,NA
"3","DNASE2B",0.49,0.88,0.43,NA
"4","SMAP1",0.49,0.68,0.38,0.36
"5","TRAF6",0.49,1.3,0.31,NA
"6","ATP6V0A1",0.45,0.6,0.22,0.68
"7","ATP6V0A4",0.45,0.46,0.59,NA
"8","PARD6G",0.45,NA,0.39,NA
"9","SMURF1",0.45,NA,0.31,NA
"10","AP1S3",0.44,1.1,NA,NA
"11","ENTPD4",0.43,NA,0.43,0.39
"12","IL2RA",0.43,0.42,0.34,0.55
"13","RNF41",0.43,0.88,0.44,NA
"14","ATP6V1H",0.41,1.95,0.3,0.97
"15","RAB11A",0.41,NA,0.35,NA
"16","RABEP1",0.41,0.25,0.22,0.27
"17","ABCB9",0.4,0.68,NA,0.49
"18","AGAP1",0.4,NA,0.45,NA
"19","ATP6V0C",0.4,1.07,0.37,NA
"20","CXCR4",0.4,NA,NA,0.52
"21","VPS36",0.4,NA,0.31,0.26
"22","ARAP2",0.39,1.64,NA,0.36
"23","FGFR4",0.39,1.14,NA,NA
"24","PIP5K1B",0.39,1.7,NA,0.28
"25","PRKCI",0.39,NA,0.63,NA
"26","STAMBP",0.39,0.94,NA,0.61
"27","ARSG",0.38,NA,NA,NA
"28","ATP6AP1",0.38,0.76,NA,NA
"29","ATP6V0B",0.38,1.05,NA,0.25
"30","EPS15",0.38,NA,0.61,0.41
"31","PPT2",0.38,1.04,NA,0.38
"32","RAB4A",0.38,NA,NA,NA
"33","STAM",0.38,0.63,0.31,0.24
"34","AP3M1",0.37,NA,NA,0.23
"35","LAMP3",0.37,1.59,NA,NA
"36","MVB12B",0.37,NA,NA,NA
"37","PARD6B",0.37,NA,NA,NA
"38","AP1G1",0.36,0.64,NA,0.27
"39","AP2B1",0.36,1.14,NA,NA
"40","IQSEC1",0.36,NA,0.48,NA
"41","PSD",0.36,NA,NA,NA
"42","RAB11FIP1",0.36,1.29,NA,NA
"43","RAB11FIP4",0.36,NA,NA,NA
"44","CBLB",0.35,NA,0.77,NA
"45","RAB5B",0.35,1.01,0.26,NA
"46","SH3GL3",0.35,NA,NA,NA
"47","AP3B2",0.34,NA,NA,0.33
"48","CDC42",0.34,1.41,NA,0.67
"49","DNAJC6",0.34,NA,NA,0.84
"50","PRKCZ",0.34,NA,NA,NA
"51","DNM1L",0.33,NA,NA,0.23
"52","GRK3",0.33,NA,NA,NA
"53","RAB11FIP2",0.33,0.81,0.54,NA
"54","RBSN",0.33,NA,NA,NA
"55","AP1S2",0.32,NA,0.31,NA
"56","AP3S2",0.32,NA,NA,NA
"57","DNM3",0.32,NA,NA,NA
"58","EPN3",0.32,0.65,NA,NA
"59","HSPA8",0.32,0.36,NA,1.11
"60","WWP1",0.32,0.25,0.47,NA
"61","AGAP2",0.31,NA,NA,0.26
"62","CTSG",0.31,0.62,NA,NA
"63","GRK4",0.31,NA,NA,NA
"64","CBL",0.3,NA,NA,NA
"65","CHMP4C",0.3,0.56,NA,NA
"66","CLTCL1",0.3,0.46,NA,NA
"67","EHD1",0.3,0.53,NA,NA
"68","IGF1R",0.3,NA,0.21,NA
"69","NTRK1",0.3,NA,NA,NA
"70","ARRB2",0.29,NA,NA,NA
"71","PARD6A",0.29,NA,NA,NA
"72","PIKFYVE",0.29,NA,NA,NA
"73","PSD2",0.29,NA,NA,NA
"74","SMAP2",0.29,0.65,NA,0.26
"75","ACAP3",0.28,NA,NA,NA
"76","GNPTAB",0.28,1.51,0.51,0.73
"77","RET",0.28,NA,NA,NA
"78","VPS4A",0.28,NA,NA,NA
"79","ABCA2",0.27,0.4,NA,NA
"80","CTSE",0.27,NA,0.34,0.34
"81","EPN2",0.27,0.91,NA,NA
"82","KDR",0.27,0.92,NA,NA
"83","AP1M1",0.26,NA,NA,NA
"84","ARRB1",0.26,NA,NA,0.45
"85","ATP6V0D1",0.26,0.72,NA,0.23
"86","ERBB3",0.26,0.78,NA,NA
"87","GALC",0.26,NA,NA,NA
"88","GIT1",0.26,NA,NA,NA
"89","SH3GL2",0.26,NA,NA,0.78
"90","VPS45",0.26,NA,NA,NA
"91","ARFGAP2",0.25,NA,NA,NA
"92","AP4B1",0.24,NA,NA,0.25
"93","ATP6V0A2",0.24,NA,NA,NA
"94","MDM2",0.24,0.21,0.77,NA
"95","AP4S1",0.23,NA,NA,NA
"96","IQSEC3",0.23,NA,NA,NA
"97","RAB5A",0.23,0.21,0.84,NA
"98","VPS37D",0.22,NA,NA,NA
"99","AP1B1",0.21,1.1,NA,NA
"100","CHMP5",0.21,1.26,NA,0.27
"101","HSPA1L",0.21,NA,NA,NA
"102","NEDD4L",0.21,NA,NA,NA
"103","RAB11B",0.21,NA,NA,NA
"104","ARAP1",NA,1.94,NA,0.5
"105","HEXB",NA,1.66,NA,NA
"106","PIP5K1A",NA,1.64,NA,NA
"107","NPC2",NA,1.57,NA,NA
"108","PARD3",NA,1.56,0.33,NA
"109","CD63",NA,1.5,NA,0.34
"110","AP3D1",NA,1.48,NA,NA
"111","EHD4",NA,1.43,NA,0.75
"112","RAB31",NA,1.41,0.41,0.47
"113","NEU1",NA,1.36,NA,NA
"114","SLC17A5",NA,1.34,NA,NA
"115","VPS37C",NA,1.33,NA,NA
"116","SCARB2",NA,1.31,NA,NA
"117","CLTA",NA,1.29,NA,0.39
"118","DAB2",NA,1.24,0.31,NA
"119","CTSC",NA,1.22,NA,0.27
"120","CLTC",NA,1.21,NA,NA
"121","LIPA",NA,1.17,NA,0.59
"122","AP2M1",NA,1.15,NA,NA
"123","KIT",NA,1.14,NA,NA
"124","LDLR",NA,1.14,NA,NA
"125","CLTB",NA,1.13,NA,NA
"126","ARAP3",NA,1.1,NA,NA
"127","DNM2",NA,1.1,NA,NA
"128","LGMN",NA,1.07,0.56,NA
"129","USP8",NA,1.06,NA,NA
"130","PSAP",NA,1.04,NA,NA
"131","AP2S1",NA,1.01,NA,0.31
"132","NPC1",NA,1,0.37,NA
"133","GLB1",NA,0.99,NA,NA
"134","M6PR",NA,0.99,NA,NA
"135","RAB5C",NA,0.97,NA,NA
"136","AP2A1",NA,0.96,NA,NA
"137","GLA",NA,0.96,NA,0.4
"138","IGF2R",NA,0.96,0.29,NA
"139","LAMP2",NA,0.96,NA,NA
"140","LAMP1",NA,0.94,NA,NA
"141","SMPD1",NA,0.92,NA,0.29
"142","ASAH1",NA,0.91,NA,NA
"143","CHMP4B",NA,0.9,NA,0.29
"144","LAPTM5",NA,0.88,NA,NA
"145","DNASE2",NA,0.87,NA,NA
"146","LDLRAP1",NA,0.86,0.31,NA
"147","MCOLN1",NA,0.85,NA,NA
"148","CTSB",NA,0.84,NA,NA
"149","ARFGAP1",NA,0.83,NA,NA
"150","AP3B1",NA,0.8,NA,NA
"151","EGFR",NA,0.8,NA,0.56
"152","IL2RB",NA,0.8,NA,NA
"153","VPS25",NA,0.8,NA,NA
"154","FLT1",NA,0.79,NA,NA
"155","CLN5",NA,0.78,0.31,0.48
"156","CXCR2",NA,0.76,NA,NA
"157","LAPTM4A",NA,0.76,NA,0.24
"158","TFRC",NA,0.76,NA,NA
"159","ACAP1",NA,0.75,NA,NA
"160","CTNS",NA,0.74,NA,NA
"161","EHD3",NA,0.74,NA,0.56
"162","HEXA",NA,0.73,NA,NA
"163","PLD1",NA,0.73,NA,NA
"164","SUMF1",NA,0.73,NA,NA
"165","SGSH",NA,0.72,NA,NA
"166","CSF1R",NA,0.71,0.28,NA
"167","CTSD",NA,0.69,NA,NA
"168","MAN2B1",NA,0.69,NA,NA
"169","SNF8",NA,0.67,NA,NA
"170","STAM2",NA,0.66,0.57,NA
"171","HGS",NA,0.65,NA,NA
"172","HLA-E",NA,0.65,NA,NA
"173","GNS",NA,0.64,NA,NA
"174","VPS37A",NA,0.64,0.34,NA
"175","PSD4",NA,0.63,NA,0.61
"176","ADRB3",NA,0.62,NA,NA
"177","CHMP2A",NA,0.62,NA,NA
"178","LAPTM4B",NA,0.62,NA,0.62
"179","ACP5",NA,0.6,NA,NA
"180","CBLC",NA,0.56,NA,NA
"181","TPP1",NA,0.56,NA,NA
"182","SH3GL1",NA,0.54,NA,NA
"183","CD68",NA,0.53,NA,0.77
"184","ARSA",NA,0.52,NA,NA
"185","FUCA1",NA,0.52,NA,0.48
"186","TCIRG1",NA,0.51,NA,NA
"187","HLA-G",NA,0.48,NA,NA
"188","HSPA1B",NA,0.48,0.32,0.52
"189","NAGLU",NA,0.48,NA,NA
"190","GIT2",NA,0.46,NA,NA
"191","CTSK",NA,0.45,NA,0.34
"192","GALNS",NA,0.43,NA,NA
"193","ARFGAP3",NA,0.42,0.22,0.28
"194","HRAS",NA,0.42,NA,NA
"195","CD164",NA,0.41,NA,NA
"196","CHMP6",NA,0.41,NA,NA
"197","AP2A2",NA,0.39,NA,NA
"198","EEA1",NA,0.38,0.44,NA
"199","SH3GLB2",NA,0.35,NA,NA
"200","AP1S1",NA,0.34,NA,0.39
"201","MVB12A",NA,0.34,NA,NA
"202","EHD2",NA,0.33,0.22,NA
"203","PDGFRA",NA,0.33,NA,0.39
"204","RAB11FIP5",NA,0.33,0.5,NA
"205","ARSB",NA,0.32,0.75,NA
"206","IQSEC2",NA,0.32,NA,0.46
"207","MET",NA,0.32,NA,0.44
"208","MANBA",NA,0.29,NA,NA
"209","HSPA2",NA,0.22,0.41,0.74
"210","SH3GLB1",NA,NA,0.81,NA
"211","RAB22A",NA,NA,0.75,NA
"212","ACAP2",NA,NA,0.65,NA
"213","ASAP1",NA,NA,0.64,0.52
"214","CHMP1B",NA,NA,0.5,NA
"215","HSPA1A",NA,NA,0.46,0.49
"216","ITCH",NA,NA,0.44,NA
"217","SH3KBP1",NA,NA,0.39,0.25
"218","AP4E1",NA,NA,0.34,0.22
"219","HGSNAT",NA,NA,0.33,NA
"220","CHMP2B",NA,NA,0.27,NA
"221","PDCD6IP",NA,NA,0.24,NA
"222","ADRB1",NA,NA,0.22,NA
"223","ASAP2",NA,NA,0.22,NA
"224","PPT1",NA,NA,NA,1.21
"225","NEDD4",NA,NA,NA,1.05
"226","VPS37B",NA,NA,NA,0.82
"227","CTSS",NA,NA,NA,0.81
"228","IDUA",NA,NA,NA,0.59
"229","IL2RG",NA,NA,NA,0.59
"230","AP3M2",NA,NA,NA,0.57
"231","SLC11A2",NA,NA,NA,0.51
"232","VPS4B",NA,NA,NA,0.39
"233","CCR5",NA,NA,NA,0.37
"234","AP3S1",NA,NA,NA,0.34
"235","CHMP3",NA,NA,NA,0.24
