"","gene","cohen_for_all_celltypes_in_xdp_enriched","cohen_neuron_stem_cells_enriched","cohen_fibroblast_eniched","cohen_induced_neuron_enriched"
"1","GPX3",0.69,1.06,0.47,0.58
"2","RNF7",0.5,1.48,NA,0.66
"3","TTN",0.49,0.68,0.3,NA
"4","CYP2D6",0.46,NA,NA,0.99
"5","CSDE1",0.44,NA,0.44,NA
"6","HSPA4",0.44,0.86,NA,0.58
"7","DNAJB5",0.43,NA,0.68,NA
"8","CYP2C19",0.41,0.26,NA,0.46
"9","DNAJA2",0.39,0.68,NA,0.24
"10","OXSR1",0.38,NA,0.23,NA
"11","CYBB",0.37,NA,NA,NA
"12","APOE",0.36,1.18,NA,NA
"13","DHCR24",0.35,0.94,NA,NA
"14","DNAJA1",0.35,NA,NA,0.97
"15","PRDX2",0.34,NA,NA,NA
"16","DNAJC5",0.33,0.3,NA,NA
"17","HSPA8",0.32,0.36,NA,1.11
"18","CYP1A1",0.31,0.35,NA,0.39
"19","HOPX",0.31,NA,NA,1.37
"20","BAG1",0.3,NA,NA,0.26
"21","CCT2",0.3,0.77,NA,0.21
"22","CYP11B2",0.3,NA,0.34,0.37
"23","DNAJC7",0.29,NA,NA,0.52
"24","PREX1",0.29,0.63,NA,NA
"25","PON1",0.28,0.29,NA,NA
"26","TCP1",0.27,0.55,NA,0.65
"27","BCL2",0.26,NA,NA,NA
"28","CCT8",0.26,0.84,NA,0.47
"29","DNAJB2",0.26,0.65,NA,NA
"30","NCF1",0.25,0.32,0.23,NA
"31","GSR",0.23,0.65,NA,NA
"32","MB",0.23,0.52,NA,0.31
"33","OXR1",0.23,NA,0.33,NA
"34","ST13",0.23,0.58,NA,0.45
"35","DNAJB9",0.22,NA,0.31,NA
"36","GSTA5",0.22,NA,NA,0.37
"37","PRG3",0.22,NA,NA,0.37
"38","HSPA1L",0.21,NA,NA,NA
"39","MGST3",NA,2.09,NA,0.33
"40","DNAJC1",NA,1.82,NA,NA
"41","HSPB1",NA,1.72,NA,NA
"42","DNAJB11",NA,1.48,NA,0.93
"43","SERPINH1",NA,1.31,NA,NA
"44","HMOX1",NA,1.3,0.58,0.42
"45","HSPA5",NA,1.3,NA,1.04
"46","GSTP1",NA,1.29,NA,NA
"47","PRDX5",NA,1.27,NA,NA
"48","DUSP1",NA,1.26,0.45,NA
"49","CALR",NA,1.24,NA,0.27
"50","JUNB",NA,1.24,NA,NA
"51","FOS",NA,1.21,0.4,0.57
"52","CYBA",NA,1.2,NA,NA
"53","MSRA",NA,1.13,NA,NA
"54","PDLIM1",NA,1.13,0.59,NA
"55","NQO1",NA,1.1,NA,NA
"56","GPX1",NA,1.09,NA,NA
"57","ATOX1",NA,1.03,NA,NA
"58","FTH1",NA,1.03,0.22,0.43
"59","PRDX6",NA,1.02,0.21,0.34
"60","SQSTM1",NA,1.01,NA,NA
"61","PRNP",NA,0.81,0.37,NA
"62","TXNRD1",NA,0.8,0.67,0.28
"63","HMOX2",NA,0.77,NA,NA
"64","GSS",NA,0.75,NA,NA
"65","HIF1A",NA,0.75,0.26,NA
"66","PRDX1",NA,0.74,NA,NA
"67","SOD1",NA,0.72,NA,0.46
"68","HSPA9",NA,0.7,NA,0.71
"69","BNIP3",NA,0.66,NA,NA
"70","SIRT2",NA,0.62,NA,NA
"71","DUOX1",NA,0.6,NA,0.75
"72","NOX4",NA,0.6,NA,0.42
"73","ALOX12",NA,0.58,NA,NA
"74","CCT5",NA,0.54,NA,1.04
"75","PNKP",NA,0.51,NA,NA
"76","NCF2",NA,0.49,NA,NA
"77","GLRX2",NA,0.47,NA,0.35
"78","HSPD1",NA,0.43,NA,1.06
"79","CCT3",NA,0.39,NA,0.5
"80","DNAJB1",NA,0.38,NA,NA
"81","DNAJA3",NA,0.35,NA,NA
"82","CCT4",NA,0.28,NA,0.66
"83","DNAJC8",NA,0.22,NA,NA
"84","HSPA2",NA,0.22,0.41,0.74
"85","HSPA1A",NA,NA,0.46,0.49
"86","DNAJB4",NA,NA,0.34,0.4
"87","PTGS2",NA,NA,0.34,0.46
"88","DNAJA4",NA,NA,NA,1.51
"89","PTGS1",NA,NA,NA,1.32
"90","PPID",NA,NA,NA,0.97
"91","EPX",NA,NA,NA,0.8
"92","GPX7",NA,NA,NA,0.79
"93","SCARA3",NA,NA,NA,0.79
"94","DNAJB6",NA,NA,NA,0.77
"95","HSPB2",NA,NA,NA,0.72
"96","UCP2",NA,NA,NA,0.65
"97","PRDX3",NA,NA,NA,0.61
"98","DNAJC9",NA,NA,NA,0.49
"99","CYP1B1",NA,NA,NA,0.46
"100","CCT7",NA,NA,NA,0.39
"101","HSPE1",NA,NA,NA,0.37
"102","ALB",NA,NA,NA,0.27
"103","MPO",NA,NA,NA,0.25
"104","GSTZ1",NA,NA,NA,0.23
"105","GPX6",NA,NA,NA,0.22
"106","SRXN1",NA,NA,NA,0.21
